NMU,ANO,REM,RAP,RAE,RCO,RCC,RME,RMI,RSE,RSI
São Simão,2019,2255,2804,1730,1458,3778,2134,2538,1823,2934
São Simão,2020,2099,2749,1986,1444,2123,2429,2230,1670,4053
Sítio d'Abadia,2010,768,706,983,510,0,0,0,2097,0
Sítio d'Abadia,2011,874,852,951,552,0,0,0,921,0
Sítio d'Abadia,2012,940,872,1128,622,0,0,0,0,0
Sítio d'Abadia,2013,1287,939,1308,678,0,0,0,1552,0
Sítio d'Abadia,2014,1167,1126,1243,724,0,0,0,1215,0
Sítio d'Abadia,2015,1259,1319,1191,919,0,0,0,1298,0
Sítio d'Abadia,2016,1709,1466,1192,1027,0,0,0,39097,0
Sítio d'Abadia,2017,1383,1496,1231,937,0,0,0,2970,0
Sítio d'Abadia,2018,1697,1842,1468,954,0,0,0,3874,0
Sítio d'Abadia,2019,1753,1901,1495,1065,0,0,0,2985,0
Sítio d'Abadia,2020,2023,2151,1826,1201,0,0,0,3549,2649
Taquaral de Goiás,2010,690,819,621,710,0,0,554,888,0
Taquaral de Goiás,2011,784,996,724,696,0,0,608,818,0
Taquaral de Goiás,2012,856,1043,870,817,0,0,682,1045,0
Taquaral de Goiás,2013,1030,1187,1068,909,2216,0,744,1139,0
Taquaral de Goiás,2014,1060,1394,1105,1006,1061,0,803,1322,0
Taquaral de Goiás,2015,1104,1457,1093,992,1351,0,854,1222,0
Taquaral de Goiás,2016,1297,1698,1261,1278,813,0,1056,1156,0
Taquaral de Goiás,2017,1303,1700,1325,1112,1181,0,1052,1372,0
Taquaral de Goiás,2018,1394,2038,1387,1143,1260,0,1080,1374,0
Taquaral de Goiás,2019,1467,2120,1489,1267,1527,0,1125,1079,0
Taquaral de Goiás,2020,1482,2012,1484,1251,1780,0,1204,1144,0
Teresina de Goiás,2010,854,882,609,609,0,0,0,734,0
Teresina de Goiás,2011,958,993,626,702,0,0,0,788,0
Teresina de Goiás,2012,1016,1045,717,802,0,0,0,910,0
Teresina de Goiás,2013,1066,1083,850,767,0,0,0,1060,0
Teresina de Goiás,2014,1108,1117,888,896,0,0,812,1270,0
Teresina de Goiás,2015,1283,1317,916,929,0,0,900,1250,0
Teresina de Goiás,2016,1307,1328,819,1238,0,0,0,1368,0
Teresina de Goiás,2017,1425,1421,872,1709,0,0,0,1494,0
Teresina de Goiás,2018,1491,1522,982,1504,0,0,0,1360,0
Teresina de Goiás,2019,1638,1686,1003,1514,0,0,0,1528,0
Teresina de Goiás,2020,1681,1806,1216,1369,0,0,0,1509,0
Terezópolis de Goiás,2010,840,1025,700,723,676,0,798,737,0
Terezópolis de Goiás,2011,965,1126,769,853,681,0,968,932,0
Terezópolis de Goiás,2012,1090,1333,939,1003,1603,0,1023,1080,0
Terezópolis de Goiás,2013,1317,1854,1086,1121,1167,0,1254,1183,0
Terezópolis de Goiás,2014,1370,1855,1175,1195,1165,0,1295,1133,0
Terezópolis de Goiás,2015,1515,1999,1259,1259,2095,0,1291,1298,0
Terezópolis de Goiás,2016,1641,2299,1236,1356,863,0,1551,1346,0
Terezópolis de Goiás,2017,1792,2594,1395,1471,867,0,1617,1449,0
Terezópolis de Goiás,2018,1774,2722,1402,1452,374,0,1677,1227,0
Terezópolis de Goiás,2019,1918,2935,1440,1582,1049,0,1605,1569,0
Terezópolis de Goiás,2020,2013,3729,1502,1462,1547,0,1685,1710,0
Trindade,2010,1001,847,778,845,1035,0,1125,1046,4821
Trindade,2011,1116,1018,857,875,1249,0,1201,1223,5462
Trindade,2012,1285,1097,983,1101,1038,0,1395,1423,4723
Trindade,2013,1436,1459,1096,1172,1061,0,1514,1589,2512
Trindade,2014,1479,1234,1193,1243,1307,955,1597,1705,2714
Trindade,2015,1591,1318,1309,1261,1186,0,1737,1862,2422
Trindade,2016,1773,1383,1422,1396,1533,950,1971,2000,2810
Trindade,2017,1947,2011,1471,1494,1582,950,2102,2051,2491
Trindade,2018,1990,2175,1625,1524,1780,1800,2124,2021,2499
Trindade,2019,2082,2357,1551,1694,1565,1011,2194,2052,2484
Trindade,2020,2194,3403,1646,1790,1420,2300,2200,2107,2655
Trombas,2010,874,901,853,570,0,0,603,792,1888
Trombas,2011,1020,1110,877,618,0,0,673,854,1759
Trombas,2012,1102,1281,833,682,0,0,771,914,1696
Trombas,2013,1060,1800,1074,805,0,0,858,1098,2063
Trombas,2014,1346,1480,1099,1051,0,0,970,1212,2319
Trombas,2015,1449,1550,1380,1080,0,0,1040,1218,2543
Trombas,2016,1460,1506,1437,1178,0,0,1130,1634,2308
Trombas,2017,1494,1513,1378,1233,0,0,1258,1569,3557
Trombas,2018,1496,1530,1407,1239,0,0,1027,1769,3721
Trombas,2019,1750,1867,1500,1268,0,0,0,1857,0
Trombas,2020,1653,1662,1608,1368,0,0,0,1624,4234
Três Ranchos,2010,968,1050,759,715,534,0,616,908,0
Três Ranchos,2011,1042,1153,758,862,523,0,639,923,0
Três Ranchos,2012,1095,1158,782,965,1069,0,806,1191,0
Três Ranchos,2013,1193,1279,809,944,1122,0,1006,1240,0
Três Ranchos,2014,1160,1362,1102,904,1228,0,157,1293,0
Três Ranchos,2015,1344,1330,875,1044,1731,0,722,1577,0
Três Ranchos,2016,1413,1452,1167,1177,1731,0,846,1482,0
Três Ranchos,2017,1625,1690,1393,1178,1088,0,1000,1727,0
Três Ranchos,2018,1627,1664,1628,1240,1086,0,1400,1729,0
Três Ranchos,2019,1741,1768,1506,1440,970,0,1213,1838,0
Três Ranchos,2020,1714,1723,1555,1513,872,0,1200,1832,0
Turvelândia,2010,1281,1252,1229,898,0,0,2023,580,0
Turvelândia,2011,1592,1447,1384,984,0,0,1877,653,0
Turvelândia,2012,1986,1598,1736,919,0,0,2429,803,2082
Turvelândia,2013,2205,1769,1952,1024,0,0,2801,863,0
Turvelândia,2014,2313,1882,2097,1155,0,0,2883,918,0
Turvelândia,2015,2291,1998,2118,1091,0,0,2684,984,0
Turvelândia,2016,2595,1819,2279,1302,0,0,3277,1122,0
Turvelândia,2017,2553,2271,2287,1350,0,0,3013,1161,8923
Turvelândia,2018,2456,2020,1923,1341,0,0,3219,3978,2795
Turvelândia,2019,2496,2593,2275,1501,0,0,2876,1445,2700
Turvelândia,2020,2716,2231,2507,1563,0,0,3359,1531,1773
Turvânia,2010,808,905,713,550,0,0,572,872,0
Turvânia,2011,886,1011,795,616,0,0,656,920,0
Turvânia,2012,1008,1174,958,699,0,0,744,951,0
Turvânia,2013,1011,1052,1060,751,1100,0,858,1136,0
Turvânia,2014,1178,1379,1158,838,0,0,851,1117,0
Turvânia,2015,1297,1542,1283,860,0,788,865,1153,0
Turvânia,2016,1510,1977,1368,966,0,880,952,1182,0
Turvânia,2017,1558,1852,1476,948,0,0,1044,1238,0
Turvânia,2018,1558,1831,1399,1071,0,0,1017,1418,0
Turvânia,2019,1636,1878,1576,1161,0,0,1021,1655,0
Turvânia,2020,1736,2045,1703,1172,0,0,1041,1717,0
Uirapuru,2010,1077,1137,954,600,0,0,0,1482,0
Uirapuru,2011,1156,1208,1105,691,0,0,734,1582,0
Uirapuru,2012,1208,1254,1207,775,0,0,1244,2249,0
Uirapuru,2013,1475,1548,1378,1126,0,0,1356,1887,0
Uirapuru,2014,1479,1548,1411,1066,0,0,1470,1098,0
Uirapuru,2015,1661,1700,1641,1292,0,1576,1853,1462,0
Uirapuru,2016,1851,1911,1825,1049,0,1760,1696,1792,0
Uirapuru,2017,1657,1640,1860,1206,0,0,1755,1637,0
Uirapuru,2018,1586,1568,1733,1194,0,0,1657,1585,0
Uirapuru,2019,1799,1800,1980,1372,0,0,1679,1637,0
Uirapuru,2020,1950,2096,1877,1429,0,0,1703,1473,0
Uruana,2010,851,952,673,714,755,510,667,990,0
Uruana,2011,943,1089,688,778,741,0,658,1196,0
Uruana,2012,1067,1252,834,924,844,0,800,1236,0
Uruana,2013,1253,1573,952,1008,1140,0,749,1600,0
Uruana,2014,1464,2051,1005,1084,1004,0,891,1818,0
Uruana,2015,1627,2153,1133,1100,1344,0,881,2221,0
Uruana,2016,1730,2124,1230,1254,1085,0,1076,2047,0
Uruana,2017,1772,2071,1212,1377,679,0,1288,2077,0
Uruana,2018,1834,2161,1231,1343,636,0,1161,2340,0
Uruana,2019,2019,2421,1316,1360,507,0,1266,2403,0
Uruana,2020,1719,1854,1376,1388,0,0,1455,2174,0
Uruaçu,2010,1109,1153,748,809,1625,1572,892,974,4833
Uruaçu,2011,1056,1238,798,807,1689,1529,967,1038,5179
Uruaçu,2012,1170,1590,910,981,1583,1935,986,1138,6804
Uruaçu,2013,1315,1775,1033,1113,1217,1833,1181,1260,8073
Uruaçu,2014,1485,2000,1099,1222,1776,1369,1316,1382,7164
Uruaçu,2015,1625,2310,1248,1351,1650,1795,1540,1532,9218
Uruaçu,2016,1717,2213,1312,1458,1501,1536,1644,1665,16293
Uruaçu,2017,1916,2558,1461,1556,1986,1538,1820,1743,10642
Uruaçu,2018,1977,2767,1464,1601,1791,1620,1883,1786,9786
Uruaçu,2019,2013,3056,1566,1616,2528,1554,1870,1810,0
Uruaçu,2020,2056,3060,2312,1728,3011,1700,2084,1454,7963
Urutaí,2010,1908,836,797,731,1813,0,907,4099,0
Urutaí,2011,2030,972,936,752,2334,0,1136,4388,0
Urutaí,2012,2536,1070,1048,764,0,1244,1049,5590,0
Urutaí,2013,3079,1442,1147,1124,923,1356,0,6873,0
Urutaí,2014,4574,1521,1161,1212,954,724,1348,10387,0
Urutaí,2015,3944,1618,1305,1505,0,1051,1423,8314,1075
Urutaí,2016,4598,1954,1549,1229,0,1173,1299,10961,0
Urutaí,2017,4615,1991,1557,1190,1631,1249,1479,11588,0
Urutaí,2018,4723,2038,1584,1316,0,1187,1284,12020,0
Urutaí,2019,1861,2136,1756,1363,0,1353,1321,1645,0
Urutaí,2020,4972,8855,1569,1071,0,790,0,2274,0
Valparaíso de Goiás,2010,1092,1533,588,1053,952,0,803,952,1269
Valparaíso de Goiás,2011,1255,1496,672,1419,1090,0,989,1005,1465
Valparaíso de Goiás,2012,1405,1850,768,1503,1036,0,1119,1150,1281
Valparaíso de Goiás,2013,1401,2242,723,1178,1232,1038,1095,1313,1238
Valparaíso de Goiás,2014,1389,1504,732,1290,1220,1443,1191,1460,1251
Valparaíso de Goiás,2015,1572,2387,852,1390,863,0,1301,1496,1360
Valparaíso de Goiás,2016,1889,3066,948,1475,1435,0,1429,1691,1516
Valparaíso de Goiás,2017,2047,3145,988,1576,1922,0,1491,1785,1407
Valparaíso de Goiás,2018,2021,3494,944,1514,1586,0,1532,1681,1497
Valparaíso de Goiás,2019,1897,3112,1112,1517,1737,0,1508,1614,1780
Valparaíso de Goiás,2020,1877,3435,1109,1535,1245,0,1581,1472,1782
Varjão,2010,829,914,773,666,0,0,622,849,0
Varjão,2011,928,1060,845,700,0,0,750,974,0
Varjão,2012,983,1022,967,963,0,0,773,1110,0
Varjão,2013,1183,1355,1077,1011,0,0,927,1156,0
Varjão,2014,1147,1203,1055,1129,724,0,1030,1327,0
Varjão,2015,1091,986,1111,1158,936,0,1027,1737,0
Varjão,2016,1532,1757,1308,1442,0,974,1203,1972,0
Varjão,2017,1665,1794,1556,1552,0,1007,1282,1918,0
Varjão,2018,1693,1913,1262,1541,0,1354,1016,2115,0
Varjão,2019,1731,1441,1646,1807,0,0,1332,2049,0
Varjão,2020,2029,2935,1722,1601,0,0,1235,1598,0
Vianópolis,2010,921,1103,906,782,769,981,835,969,3457
Vianópolis,2011,1004,1295,950,848,797,1386,879,996,4970
Vianópolis,2012,1086,1456,1079,901,1041,1519,987,965,0
Vianópolis,2013,1241,1572,1197,1070,970,2025,1117,1224,1018
Vianópolis,2014,1383,1784,1291,1208,1508,1362,1213,1370,1086
Vianópolis,2015,1541,1872,1529,1288,908,0,1297,1743,1182
Vianópolis,2016,1717,2169,1524,1502,773,0,1443,1896,0
Vianópolis,2017,1840,2443,1689,1599,1352,0,1466,1888,0
Vianópolis,2018,1969,2652,1718,1983,1783,1431,1442,1820,0
Vianópolis,2019,2069,3034,1792,1961,1639,0,1559,1867,0
Vianópolis,2020,2190,3066,1966,2165,1310,0,1663,1827,0
Vicentinópolis,2010,1177,954,986,746,0,0,1669,1318,6924
Vicentinópolis,2011,1313,1086,1101,793,0,0,1842,1250,0
Vicentinópolis,2012,1583,1434,1122,966,1356,0,2027,1599,0
Vicentinópolis,2013,1942,1857,1428,1032,0,0,2546,1812,0
Vicentinópolis,2014,2012,1603,1574,1134,900,0,2811,1813,0
Vicentinópolis,2015,2087,1692,1500,1198,0,0,2929,2187,0
Vicentinópolis,2016,2204,1915,1791,1276,0,0,3134,2081,0
Vicentinópolis,2017,2341,2184,1892,1362,0,0,2940,2300,0
Vicentinópolis,2018,2464,2179,2045,1395,0,0,2946,2659,954
Vicentinópolis,2019,2362,2411,2094,1348,0,0,2666,2201,998
Vicentinópolis,2020,2583,2473,2031,1343,0,0,3232,2206,1045
Vila Boa,2010,1053,880,1177,786,679,868,1608,707,0
Vila Boa,2011,1132,914,1197,883,708,1062,1956,630,0
Vila Boa,2012,1179,992,1203,1019,0,1168,1719,724,0
Vila Boa,2013,1321,1333,1133,1141,0,0,2398,925,0
Vila Boa,2014,1344,1392,1186,1113,0,0,2569,935,0
Vila Boa,2015,1421,1509,1078,1084,0,0,3056,1220,0
Vila Boa,2016,1972,2432,1682,1220,0,1470,4453,1152,0
Vila Boa,2017,1762,1746,1526,1254,0,2684,3970,1448,0
Vila Boa,2018,1875,1941,1672,1103,0,1608,3363,1356,0
Vila Boa,2019,2030,2051,1962,1134,0,1276,3296,1390,0
Vila Boa,2020,2256,2356,2137,1509,0,1464,3832,1378,0
Vila Propício,2010,1005,834,789,766,1607,1575,0,689,0
Vila Propício,2011,899,876,981,682,0,0,0,767,0
Vila Propício,2012,1114,1179,1000,841,0,1788,0,793,0
Vila Propício,2013,1286,1105,1273,1019,0,2322,1640,1121,0
Vila Propício,2014,1331,1172,1218,1307,0,2375,986,1284,0
Vila Propício,2015,1491,1379,1292,1193,3780,2586,788,1059,0
Vila Propício,2016,1633,1289,1542,1317,2513,2759,1417,1146,0
Vila Propício,2017,1634,1534,1500,1245,1700,2790,979,1141,0
Vila Propício,2018,1645,1400,1521,1246,0,3059,0,1128,0
Vila Propício,2019,1858,1736,1726,1293,0,2776,0,1287,0
Vila Propício,2020,1913,1688,1678,1153,0,3094,0,1154,0
Água Fria de Goiás,2010,890,786,893,896,0,0,685,1379,0
Água Fria de Goiás,2011,968,847,985,935,0,0,754,1423,0
Água Fria de Goiás,2012,1096,922,1168,887,0,0,791,1742,0
Água Fria de Goiás,2013,1287,1022,1460,999,0,0,1028,1932,0
Água Fria de Goiás,2014,1505,1457,1547,1335,0,0,1049,1692,0
Água Fria de Goiás,2015,1482,1228,1667,1227,830,0,1210,1681,0
Água Fria de Goiás,2016,1606,1388,1776,1385,0,0,1148,1794,0
Água Fria de Goiás,2017,1860,1615,1989,2210,0,0,1176,1991,0
Água Fria de Goiás,2018,1908,1803,1985,2124,0,0,823,1600,0
Água Fria de Goiás,2019,2014,1914,2086,2172,0,0,513,1791,0
Água Fria de Goiás,2020,2220,2162,2227,2633,0,0,523,1557,0
Água Limpa,2010,869,915,723,846,0,0,649,1092,0
Água Limpa,2011,885,911,836,784,0,0,693,1173,0
Água Limpa,2012,992,984,983,958,0,0,842,1417,0
Água Limpa,2013,1171,1222,1009,1071,0,678,0,1485,0
Água Limpa,2014,1303,1388,1107,1155,0,0,0,1133,0
Água Limpa,2015,1365,1438,1183,1242,0,0,0,1595,0
Água Limpa,2016,1350,3500,1322,1303,0,0,0,1602,0
Água Limpa,2017,1482,1483,1420,1532,0,0,0,1926,0
Água Limpa,2018,1639,1748,1415,1522,1014,0,1161,1943,0
Água Limpa,2019,1856,2080,1485,1502,0,0,1504,1827,0
Água Limpa,2020,1964,2240,1527,1582,0,0,1234,1849,0
Águas Lindas de Goiás,2010,1002,1447,723,766,856,0,789,823,0
Águas Lindas de Goiás,2011,1086,1693,776,845,866,789,833,915,0
Águas Lindas de Goiás,2012,1183,2510,731,954,883,1088,973,925,0
Águas Lindas de Goiás,2013,1245,1912,1144,1075,955,1201,1107,1081,0
Águas Lindas de Goiás,2014,1385,1866,993,1104,1235,1410,1257,1185,0
Águas Lindas de Goiás,2015,1438,1638,948,1212,1291,0,1571,1349,1297
Águas Lindas de Goiás,2016,1413,1452,1172,1255,1264,0,1473,1513,983
Águas Lindas de Goiás,2017,1592,1714,1257,1383,1794,0,1576,1541,7499
Águas Lindas de Goiás,2018,1799,2598,1184,1405,1145,0,1442,1540,11687
Águas Lindas de Goiás,2019,1861,2833,1280,1429,1331,0,1361,1596,5552
Águas Lindas de Goiás,2020,1885,3275,1294,1437,654,0,1239,1452,3793
